column1,column2,column3,column4,column5,column6
044288,28187.86,0.0,0.0,8234.75,19953.11
045225,28187.86,0.0,0.0,8798.51,19389.35
045489,28187.86,0.0,0.0,8130.48,20057.38
046060,28187.86,0.0,0.0,2074.64,26113.22
046311,28187.86,0.0,0.0,8798.51,19389.35
048160,28187.86,3100.66,0.0,10546.72,20741.8
050032,28187.86,3100.66,0.0,10546.72,20741.8
053350,28187.86,3100.66,0.0,10546.72,20741.8
053856,28187.86,3100.66,0.0,10546.72,20741.8
054798,28187.86,3100.66,0.0,10390.31,20898.21
055131,28187.86,3100.66,0.0,10546.72,20741.8
055417,28187.86,0.0,0.0,8746.38,19441.48
061590,28187.86,0.0,0.0,8234.75,19953.11
081345,28187.86,3100.66,0.0,10546.72,20741.8
082571,28187.86,3100.66,0.0,10546.72,20741.8
206547,28187.86,3100.66,0.0,10546.72,20741.8
245674,28187.86,0.0,0.0,2638.4,25549.46
116360,28122.98,0.0,0.0,9598.91,18524.07
067709,28114.9,0.0,0.0,8208.87,19906.03
043478,28101.69,0.0,0.0,8204.19,19897.5
261963,28091.22,0.0,0.0,9605.68,18485.54
035700,28061.03,0.0,0.0,8189.76,19871.27
036277,28060.87,0.0,0.0,8189.7,19871.17
149187,28059.35,4676.56,0.0,8870.54,23865.37
048330,28041.03,7990.78,0.0,9837.36,26194.45
083895,28026.05,0.0,0.0,9633.4,18392.65
124770,27995.02,3079.45,0.0,10468.62,20605.85
047147,27952.73,2458.34,0.0,11977.14,18433.93
051730,27840.48,0.0,0.0,2036.43,25804.05
041939,27810.71,0.0,0.0,8048.83,19761.88
042170,27810.71,0.0,0.0,8100.96,19709.75
076139,27810.71,3059.18,0.0,10341.84,20528.05
082961,27810.71,3059.18,0.0,10393.98,20475.91
103900,27810.71,0.0,0.0,9552.7,18258.01
049484,27767.6,3054.44,0.0,10324.38,20497.66
048275,27732.9,0.0,0.0,8628.02,19104.88
047431,27710.68,0.0,0.0,8065.47,19645.21
038814,27696.68,0.0,0.0,8614.44,19082.24
045721,27696.68,0.0,0.0,8614.44,19082.24
108235,27682.23,3045.05,0.0,10341.94,20385.34
110477,27682.23,3045.05,0.0,10289.81,20437.47
037907,27661.59,0.0,0.0,2016.75,25644.84
038326,27661.59,0.0,0.0,8048.06,19613.53
039306,27661.59,3042.77,0.0,10333.58,20370.78
108456,27661.59,0.0,0.0,8601.29,19060.3
006386,27655.75,2778.5,2396.68,9308.43,18729.14
037672,27654.25,2684.04,0.0,9855.47,20482.82
005100,27633.95,2778.19,2377.69,9307.29,18727.16
043117,27632.87,0.0,0.0,2013.59,25619.28
040258,27631.7,3039.49,0.0,10269.34,20401.85
210722,27627.34,2855.39,0.0,10102.71,20380.02
037770,27621.3,3038.34,0.0,10317.27,20342.37
050946,27613.62,7656.49,0.0,9921.84,25348.27
039438,27606.54,3036.72,0.0,10207.01,20436.25
042722,27592.54,0.0,0.0,8023.57,19568.97
070106,27592.54,3035.18,0.0,10305.62,20322.1
171590,27592.54,0.0,0.0,9470.94,18121.6
197297,27541.47,2448.15,0.0,13924.13,16065.49
045454,27535.71,0.0,0.0,7951.27,19584.44
044725,27480.46,0.0,0.0,7983.81,19496.65
078387,27480.46,0.0,0.0,7983.81,19496.65
197963,27477.3,3022.5,0.0,10258.95,20240.85
118371,27413.04,0.0,0.0,9403.67,18009.37
040312,27394.18,0.0,0.0,8501.08,18893.1
046710,27394.02,0.0,0.0,1987.32,25406.7
121681,27394.02,3013.34,0.0,10225.22,20182.14
233480,27394.02,3013.34,0.0,10173.08,20234.28
243841,27394.02,3013.34,0.0,10173.08,20234.28
077623,27375.76,7620.41,2343.0,9647.79,23005.38
190152,27359.21,3009.51,0.0,10211.11,20157.61
036285,27358.25,7569.12,0.0,9830.93,25096.44
068977,27345.76,3008.03,0.0,10205.67,20148.12
000191,27341.64,0.0,2363.26,1721.6,23256.78
050211,27340.52,3007.46,0.0,10203.55,20144.43
045161,27318.29,0.0,0.0,7926.28,19392.01
